dataset,strategy,total_cases,false_promotions_under_drift,unsafe_promotions,missed_safe_promotions,retraining_triggers,agreement_with_proposed
scania_aps_failure,accuracy_only,6,6,6,0,0,0.0
scania_aps_failure,f1_threshold,6,6,6,0,0,0.0
scania_aps_failure,fixed_retraining_schedule,6,4,4,2,2,0.0
scania_aps_failure,learned_gradient_boosting,6,3,0,2,3,0.0
scania_aps_failure,learned_logistic_regression,6,6,1,0,0,0.0
scania_aps_failure,manual_policy,6,0,0,5,6,0.0
scania_aps_failure,proposed_decision_gate,6,0,0,5,6,1.0
synthetic_iot_sensor,accuracy_only,6,4,6,0,0,0.0
synthetic_iot_sensor,f1_threshold,6,4,6,0,0,0.0
synthetic_iot_sensor,fixed_retraining_schedule,6,3,4,0,2,0.0
synthetic_iot_sensor,learned_gradient_boosting,6,1,0,1,3,0.16666666666666666
synthetic_iot_sensor,learned_logistic_regression,6,4,3,0,0,0.3333333333333333
synthetic_iot_sensor,manual_policy,6,0,1,2,4,0.3333333333333333
synthetic_iot_sensor,proposed_decision_gate,6,0,1,2,4,1.0
synthetic_timeseries_telemetry,accuracy_only,6,6,6,0,0,0.0
synthetic_timeseries_telemetry,f1_threshold,6,6,6,0,0,0.0
synthetic_timeseries_telemetry,fixed_retraining_schedule,6,4,4,0,2,0.0
synthetic_timeseries_telemetry,learned_gradient_boosting,6,5,3,0,1,0.0
synthetic_timeseries_telemetry,learned_logistic_regression,6,5,4,1,1,0.0
synthetic_timeseries_telemetry,manual_policy,6,0,0,2,6,0.0
synthetic_timeseries_telemetry,proposed_decision_gate,6,0,0,2,6,1.0
wine_multiclass,accuracy_only,6,1,4,0,0,0.8333333333333334
wine_multiclass,f1_threshold,6,1,4,0,0,0.8333333333333334
wine_multiclass,fixed_retraining_schedule,6,1,2,0,2,0.5
wine_multiclass,learned_gradient_boosting,6,1,0,1,0,0.0
wine_multiclass,learned_logistic_regression,6,1,4,0,0,0.8333333333333334
wine_multiclass,manual_policy,6,0,4,1,1,0.8333333333333334
wine_multiclass,proposed_decision_gate,6,0,4,1,1,1.0
wisconsin_breast_cancer,accuracy_only,6,1,2,0,0,0.8333333333333334
wisconsin_breast_cancer,f1_threshold,6,1,2,0,0,0.8333333333333334
wisconsin_breast_cancer,fixed_retraining_schedule,6,1,1,2,2,0.5
wisconsin_breast_cancer,learned_gradient_boosting,6,1,0,0,0,0.0
wisconsin_breast_cancer,learned_logistic_regression,6,1,0,0,0,0.0
wisconsin_breast_cancer,manual_policy,6,0,2,1,1,0.8333333333333334
wisconsin_breast_cancer,proposed_decision_gate,6,0,2,1,1,1.0
