dataset,domain,model_name,model_artifact_path,decision_metric_partition,accuracy,precision,recall,f1_score,balanced_accuracy,positive_class_recall,positive_class_f1,average_precision,heldout_test_accuracy,heldout_test_f1_score,heldout_test_balanced_accuracy,heldout_test_positive_class_recall,heldout_test_positive_class_f1,heldout_test_average_precision,mean_latency_ms,p95_latency_ms,model_size_mb,cost_proxy,traceability_score,traceability_detail
wisconsin_breast_cancer,small tabular binary classification,logistic_regression,/tmp/mlops-reviewer2-final/models/wisconsin_breast_cancer__logistic_regression.joblib,validation,0.9912280701754386,0.9914320685434516,0.9912280701754386,0.9912489986793391,0.9930555555555556,0.9861111111111112,0.993006993006993,1.0,0.9912280701754386,0.991207141671538,0.9883720930232558,1.0,0.993006993006993,0.998133179579388,0.1760866666397002,0.237356999741678,0.0026865005493164062,0.0021223762326722257,1.0,"{'model_artifact_path': True, 'dataset_identifier': True, 'evaluation_metrics': True, 'policy_identifiers': True, 'decision_reasons': True}"
wisconsin_breast_cancer,small tabular binary classification,random_forest,/tmp/mlops-reviewer2-final/models/wisconsin_breast_cancer__random_forest.joblib,validation,0.9649122807017544,0.9651849217638692,0.9649122807017544,0.9647247085304307,0.9573412698412699,0.9861111111111112,0.9726027397260274,0.9981410301832836,0.9122807017543859,0.9126509455456824,0.9112348509662627,0.9154929577464789,0.9285714285714286,0.9937236419525307,17.6519688332822,23.801553400198827,0.2638416290283203,0.21277871584427105,1.0,"{'model_artifact_path': True, 'dataset_identifier': True, 'evaluation_metrics': True, 'policy_identifiers': True, 'decision_reasons': True}"
wisconsin_breast_cancer,small tabular binary classification,gradient_boosting,/tmp/mlops-reviewer2-final/models/wisconsin_breast_cancer__gradient_boosting.joblib,validation,0.9649122807017544,0.9651849217638692,0.9649122807017544,0.9647247085304307,0.9573412698412699,0.9861111111111112,0.9726027397260274,0.9957647403528217,0.9385964912280702,0.9389687540328472,0.9415329184408778,0.9295774647887324,0.9496402877697842,0.9959788054431902,0.19552756654472128,0.2580050000233312,0.1347208023071289,0.0024190680138120413,1.0,"{'model_artifact_path': True, 'dataset_identifier': True, 'evaluation_metrics': True, 'policy_identifiers': True, 'decision_reasons': True}"
wine_multiclass,tabular multiclass classification,logistic_regression,/tmp/mlops-reviewer2-final/models/wine_multiclass__logistic_regression.joblib,validation,1.0,1.0,1.0,1.0,1.0,,,,0.9722222222222222,0.9722988505747127,0.9777777777777779,,,,0.1558544666901677,0.19866854986503307,0.0022592544555664062,0.0018441969357897807,1.0,"{'model_artifact_path': True, 'dataset_identifier': True, 'evaluation_metrics': True, 'policy_identifiers': True, 'decision_reasons': True}"
wine_multiclass,tabular multiclass classification,random_forest,/tmp/mlops-reviewer2-final/models/wine_multiclass__random_forest.joblib,validation,0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9722633744855966,0.9761904761904763,,,,1.0,1.0,1.0,,,,17.73642446660233,25.45180000010987,0.17118263244628906,0.21834950531261604,1.0,"{'model_artifact_path': True, 'dataset_identifier': True, 'evaluation_metrics': True, 'policy_identifiers': True, 'decision_reasons': True}"
wine_multiclass,tabular multiclass classification,gradient_boosting,/tmp/mlops-reviewer2-final/models/wine_multiclass__gradient_boosting.joblib,validation,0.8055555555555556,0.8035353535353535,0.8055555555555556,0.8037231384307846,0.8079365079365078,,,,0.9444444444444444,0.9444444444444444,0.9500000000000001,,,,0.49288493349498214,0.6344007999814492,0.3595142364501953,0.006061990409774322,1.0,"{'model_artifact_path': True, 'dataset_identifier': True, 'evaluation_metrics': True, 'policy_identifiers': True, 'decision_reasons': True}"
synthetic_iot_sensor,synthetic industrial/IoT-like binary classification,logistic_regression,/tmp/mlops-reviewer2-final/models/synthetic_iot_sensor__logistic_regression.joblib,validation,0.83,0.8282,0.83,0.8263917553880338,0.7969162687376468,0.6836158192090396,0.7400611620795107,0.8460301135396318,0.83,0.8289340628619355,0.8078352974186307,0.7329545454545454,0.7521865889212828,0.8534013569598865,0.17662139995688145,0.22605489994020894,0.0023050308227539062,0.002092518917969331,1.0,"{'model_artifact_path': True, 'dataset_identifier': True, 'evaluation_metrics': True, 'policy_identifiers': True, 'decision_reasons': True}"
synthetic_iot_sensor,synthetic industrial/IoT-like binary classification,random_forest,/tmp/mlops-reviewer2-final/models/synthetic_iot_sensor__random_forest.joblib,validation,0.92,0.9231694678674545,0.92,0.9182261382461634,0.8946668765632926,0.807909604519774,0.8773006134969326,0.9520716502683121,0.934,0.9328241566595246,0.9127384960718294,0.8409090909090909,0.8996960486322189,0.955366441028477,24.85442909998407,26.13233595006932,2.015474319458008,0.27844172524175537,1.0,"{'model_artifact_path': True, 'dataset_identifier': True, 'evaluation_metrics': True, 'policy_identifiers': True, 'decision_reasons': True}"
synthetic_iot_sensor,synthetic industrial/IoT-like binary classification,gradient_boosting,/tmp/mlops-reviewer2-final/models/synthetic_iot_sensor__gradient_boosting.joblib,validation,0.916,0.9172424497428705,0.916,0.9146001010028136,0.8941246436130206,0.8192090395480226,0.8734939759036144,0.9503854741280487,0.924,0.9233497326203207,0.908915544332211,0.8579545454545454,0.888235294117647,0.9535120227930295,0.22564026664137296,0.3327673497551586,0.1340951919555664,0.0028838812975697996,1.0,"{'model_artifact_path': True, 'dataset_identifier': True, 'evaluation_metrics': True, 'policy_identifiers': True, 'decision_reasons': True}"
synthetic_timeseries_telemetry,synthetic time-series-like telemetry classification,logistic_regression,/tmp/mlops-reviewer2-final/models/synthetic_timeseries_telemetry__logistic_regression.joblib,validation,0.92,0.9210144579470675,0.92,0.9203331557793812,0.9164835164835166,0.9047619047619048,0.8878504672897196,0.9678074255082459,0.92,0.9198194662480378,0.9098901098901099,0.8761904761904762,0.8846153846153846,0.9649071567664154,0.1600174667449513,0.21400755017566547,0.0019998550415039062,0.0019233622975115092,1.0,"{'model_artifact_path': True, 'dataset_identifier': True, 'evaluation_metrics': True, 'policy_identifiers': True, 'decision_reasons': True}"
